prefecture,category,source_count,db_count,diff
山形県,洪水_02_想定最大規模\A31a-20-22_06_8202110112_10.geojson,881,0,881
山形県,洪水_02_想定最大規模\A31a-20-22_06_8202110124_10.geojson,703,0,703
山形県,洪水_02_想定最大規模\A31a-20-22_06_8202110263_10.geojson,3549,0,3549
山形県,洪水_02_想定最大規模\A31a-20-22_06_8202110265_10.geojson,1882,0,1882
山形県,洪水_02_想定最大規模\A31a-20-22_06_8202110272_10.geojson,1877,0,1877
山形県,洪水_02_想定最大規模\A31a-20-22_06_8202110277_10.geojson,4307,0,4307
山形県,洪水_02_想定最大規模\A31a-20-22_06_8202110307_10.geojson,7073,0,7073
山形県,洪水_03_浸水継続時間,24006,0,24006
山形県,洪水_03_浸水継続時間\A31a-30-22_06_8202110087_10.geojson,888,0,888
山形県,洪水_03_浸水継続時間\A31a-30-22_06_8202110112_10.geojson,31,0,31
山形県,洪水_03_浸水継続時間\A31a-30-22_06_8202110124_10.geojson,66,0,66
山形県,洪水_03_浸水継続時間\A31a-30-22_06_8202110277_10.geojson,408,0,408
山形県,洪水_04_家屋倒壊等氾濫想定区域\A31a-40-22_06_8202110087_10.geojson,10,0,10
山形県,洪水_04_家屋倒壊等氾濫想定区域\A31a-40-22_06_8202110112_10.geojson,5,0,5
山形県,洪水_04_家屋倒壊等氾濫想定区域\A31a-40-22_06_8202110124_10.geojson,32,0,32
山形県,洪水_04_家屋倒壊等氾濫想定区域\A31a-40-22_06_8202110277_10.geojson,30,0,30
山形県,洪水_04_家屋倒壊等氾濫想定区域\A31a-40-22_06_8202110283_10.geojson,2,0,2
山梨県,土砂災害警戒区域,13929,0,13929
山梨県,洪水_01_計画規模,73521,0,73521
山梨県,洪水_02_想定最大規模,123933,0,123933
山梨県,洪水_03_浸水継続時間,4663,0,4663
岐阜県,土砂災害警戒区域,38162,0,38162
岐阜県,急傾斜地崩壊危険区域,2154,0,2154
岐阜県,津波浸水想定,31301,0,31301
岐阜県,洪水_01_計画規模,44685,0,44685
岐阜県,洪水_02_想定最大規模,103934,0,103934
岐阜県,洪水_03_浸水継続時間,9349,0,9349
岡山県,土砂災害警戒区域,29674,0,29674
岡山県,急傾斜地崩壊危険区域,724,0,724
岡山県,津波浸水想定,65056,0,65056
岡山県,洪水_01_計画規模,93524,0,93524
岡山県,洪水_02_想定最大規模,194744,0,194744
岡山県,洪水_03_浸水継続時間,22480,0,22480
岩手県,土砂災害警戒区域,31266,0,31266
岩手県,急傾斜地崩壊危険区域,277,0,277
岩手県,津波浸水想定,233714,0,233714
岩手県,洪水_01_計画規模,42791,0,42791
岩手県,洪水_02_想定最大規模,169872,0,169872
岩手県,洪水_03_浸水継続時間,10910,0,10910
島根県,土砂災害警戒区域,100555,0,100555
島根県,急傾斜地崩壊危険区域,1057,0,1057
島根県,津波浸水想定,50182,0,50182
島根県,洪水_01_計画規模,32027,0,32027
島根県,洪水_02_想定最大規模,49999,0,49999
島根県,洪水_03_浸水継続時間,3453,0,3453
広島県,土砂災害警戒区域,143972,0,143972
広島県,急傾斜地崩壊危険区域,2858,0,2858
広島県,洪水_01_計画規模,12596,0,12596
広島県,洪水_02_想定最大規模,128328,0,128328
広島県,洪水_03_浸水継続時間,17844,0,17844
徳島県,土砂災害警戒区域,39601,0,39601
徳島県,急傾斜地崩壊危険区域,465,0,465
徳島県,洪水_01_計画規模,50423,0,50423
徳島県,洪水_02_想定最大規模,86682,0,86682
徳島県,洪水_03_浸水継続時間,4675,0,4675
徳島県,高潮想定区域,78526,0,78526
愛媛県,土砂災害警戒区域,42113,0,42113
愛媛県,急傾斜地崩壊危険区域,1196,0,1196
愛媛県,洪水_01_計画規模,18191,0,18191
愛媛県,洪水_02_想定最大規模,51539,0,51539
愛媛県,洪水_03_浸水継続時間,2721,0,2721
愛知県,土砂災害警戒区域,36433,0,36433
愛知県,津波浸水想定,129834,0,129834
愛知県,洪水_01_計画規模,303034,0,303034
愛知県,洪水_02_想定最大規模,421692,0,421692
愛知県,洪水_03_浸水継続時間,54029,0,54029
愛知県,高潮想定区域,258376,0,258376
新潟県,土砂災害警戒区域,37985,0,37985
新潟県,急傾斜地崩壊危険区域,550,0,550
新潟県,津波浸水想定,161874,0,161874
新潟県,洪水_01_計画規模,281250,0,281250
新潟県,洪水_02_想定最大規模,452995,0,452995
新潟県,洪水_03_浸水継続時間,57606,0,57606
東京都,土砂災害警戒区域,29823,0,29823
東京都,急傾斜地崩壊危険区域,75,0,75
東京都,津波浸水想定,33124,0,33124
東京都,洪水_02_想定最大規模,39637,0,39637
東京都,洪水_03_浸水継続時間,1414,0,1414
東京都,高潮想定区域,59039,0,59039
栃木県,土砂災害警戒区域,23259,0,23259
栃木県,急傾斜地崩壊危険区域,311,0,311
栃木県,洪水_01_計画規模,65866,0,65866
栃木県,洪水_02_想定最大規模,140866,0,140866
沖縄県,土砂災害警戒区域,2464,0,2464
沖縄県,急傾斜地崩壊危険区域,80,0,80
沖縄県,洪水_01_計画規模,1115,0,1115
沖縄県,洪水_02_想定最大規模,4685,0,4685
沖縄県,洪水_03_浸水継続時間,1551,0,1551
滋賀県,土砂災害警戒区域,14372,0,14372
滋賀県,急傾斜地崩壊危険区域,540,0,540
滋賀県,洪水_01_計画規模,139157,0,139157
滋賀県,洪水_02_想定最大規模,189450,0,189450
滋賀県,洪水_03_浸水継続時間,5731,0,5731
熊本県,土砂災害警戒区域,56149,0,56149
熊本県,急傾斜地崩壊危険区域,1112,0,1112
熊本県,津波浸水想定,53751,0,53751
熊本県,洪水_01_計画規模,77644,0,77644
熊本県,洪水_02_想定最大規模,162734,0,162734
熊本県,洪水_03_浸水継続時間,19143,0,19143
石川県,土砂災害警戒区域,13752,0,13752
石川県,急傾斜地崩壊危険区域,524,0,524
石川県,津波浸水想定,46630,0,46630
石川県,洪水_01_計画規模,52634,0,52634
石川県,洪水_02_想定最大規模,87070,0,87070
石川県,洪水_03_浸水継続時間,18010,0,18010
神奈川県,土砂災害警戒区域,68560,0,68560
神奈川県,急傾斜地崩壊危険区域,2009,0,2009
神奈川県,津波浸水想定,66965,0,66965
神奈川県,洪水_01_計画規模,4708,0,4708
神奈川県,洪水_02_想定最大規模,18070,0,18070
神奈川県,洪水_03_浸水継続時間,2446,0,2446
神奈川県,高潮想定区域,64654,0,64654
福井県,土砂災害警戒区域,23659,0,23659
福井県,津波浸水想定,19846,0,19846
福井県,洪水_01_計画規模,44420,0,44420
福井県,洪水_02_想定最大規模,150771,0,150771
福井県,洪水_03_浸水継続時間,18576,0,18576
福岡県,土砂災害警戒区域,36670,0,36670
福岡県,洪水_01_計画規模,164804,0,164804
福岡県,洪水_02_想定最大規模,324265,0,324265
福岡県,洪水_03_浸水継続時間,39927,0,39927
福岡県,高潮想定区域,225153,0,225153
福島県,土砂災害警戒区域,20256,0,20256
福島県,急傾斜地崩壊危険区域,408,0,408
福島県,津波浸水想定,60217,0,60217
福島県,洪水_01_計画規模,46548,0,46548
福島県,洪水_02_想定最大規模,98342,0,98342
福島県,洪水_03_浸水継続時間,12826,0,12826
福島県,洪水_04_家屋倒壊等氾濫想定区域,1587,0,1587
秋田県,土砂災害警戒区域,17513,0,17513
秋田県,急傾斜地崩壊危険区域,572,0,572
秋田県,津波浸水想定,75921,0,75921
秋田県,洪水_01_計画規模,74682,0,74682
秋田県,洪水_02_想定最大規模,189299,0,189299
秋田県,洪水_03_浸水継続時間,15235,0,15235
群馬県,土砂災害警戒区域,18117,0,18117
群馬県,急傾斜地崩壊危険区域,694,0,694
群馬県,洪水_01_計画規模,356931,0,356931
群馬県,洪水_02_想定最大規模,663358,0,663358
群馬県,洪水_03_浸水継続時間,16486,0,16486
茨城県,土砂災害警戒区域,10220,0,10220
茨城県,急傾斜地崩壊危険区域,337,0,337
茨城県,津波浸水想定,72555,0,72555
茨城県,洪水_01_計画規模,22852,0,22852
茨城県,洪水_02_想定最大規模,55851,0,55851
茨城県,洪水_03_浸水継続時間,1481,0,1481
長崎県,土砂災害警戒区域,68146,0,68146
長崎県,急傾斜地崩壊危険区域,1530,0,1530
長崎県,洪水_01_計画規模,11191,0,11191
長崎県,洪水_02_想定最大規模,20557,0,20557
長崎県,洪水_03_浸水継続時間,863,0,863
長野県,土砂災害警戒区域,53804,0,53804
長野県,急傾斜地崩壊危険区域,993,0,993
長野県,洪水_02_想定最大規模,248123,0,248123
長野県,洪水_03_浸水継続時間,33001,0,33001
青森県,土砂災害警戒区域,9571,0,9571
青森県,急傾斜地崩壊危険区域,568,0,568
青森県,津波浸水想定,130043,0,130043
青森県,洪水_01_計画規模,52234,0,52234
青森県,洪水_02_想定最大規模,181939,0,181939
青森県,洪水_03_浸水継続時間,14089,0,14089
青森県,高潮想定区域,10492,0,10492
静岡県,土砂災害警戒区域,50195,0,50195
静岡県,急傾斜地崩壊危険区域,1581,0,1581
静岡県,洪水_01_計画規模,86662,0,86662
静岡県,洪水_02_想定最大規模,352112,0,352112
静岡県,洪水_03_浸水継続時間,6695,0,6695
香川県,土砂災害警戒区域,15210,0,15210
香川県,洪水_01_計画規模,15523,0,15523
香川県,洪水_02_想定最大規模,45517,0,45517
香川県,洪水_03_浸水継続時間,11648,0,11648
香川県,高潮想定区域,81175,0,81175
高知県,土砂災害警戒区域,71847,0,71847
高知県,急傾斜地崩壊危険区域,1316,0,1316
高知県,洪水_02_想定最大規模,4966,0,4966
鳥取県,土砂災害警戒区域,15186,0,15186
鳥取県,急傾斜地崩壊危険区域,464,0,464
鳥取県,津波浸水想定,17134,0,17134
鳥取県,洪水_04_家屋倒壊等氾濫想定区域,264,0,264
鹿児島県,土砂災害警戒区域,83962,0,83962
鹿児島県,急傾斜地崩壊危険区域,1213,0,1213
鹿児島県,津波浸水想定,208287,0,208287
鹿児島県,洪水_01_計画規模,9655,0,9655
鹿児島県,洪水_02_想定最大規模,15894,0,15894
